link,courseid,coursename,Coursetitle,lessonID,lessonname,Corresponding folder name,Corresponding file name in the folder
https://www.michaelmanagement.com/files/training/HANA102/hana102_10/imsmanifest.xml,401,HANA102,SAP HANA - Modeling and Administration,hana102_10,Delivery Units and Exports,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/COOV101/coov101_04/imsmanifest.xml,402,COOV101,SAP Controlling Overview,coov101_04,Profit Center Accounting,COOV101_HTML5.zip,
https://www.michaelmanagement.com/files/training/COOV101/coov101_05/imsmanifest.xml,402,COOV101,SAP Controlling Overview,coov101_05,Profitability Analysis,COOV101_HTML5.zip,
https://www.michaelmanagement.com/files/training/CRM101/crm101_02/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_02,Leads,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_03/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_03,Account Creation,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_04/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_04,Account Hierarchies,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_05/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_05,Contact Creation,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_06/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_06,Activities - Appointments & Email,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_07/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_07,Activities - Tasks and Phone Calls,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
https://www.michaelmanagement.com/files/training/CRM101/crm101_08/imsmanifest.xml,404,CRM101,SAP CRM - Sales Professional,crm101_08,Opportunities,Found the HTML5  zip in the recent folder shared. Nesoi is downloading them currently.,
